,시군구_명,상권_코드_명,서비스_업종_코드_명,매출/점포수,증감률
276,강남구,압구정 로데오거리_1,한식음식점,546881438.5992582,-45.68962285283422
277,강남구,압구정 로데오거리_1,가전제품,241480111.9464286,-52.12014166796067
278,강남구,압구정 로데오거리_1,제과점,26517761.0,-94.81386305578363
279,강남구,압구정 로데오거리_1,골프연습장,1000000.0,-66.66666666666667
280,강남구,압구정 로데오거리_1,전자상거래업,131125044.64444445,-81.32283231784884
281,강남구,신사동 가로수길,전자상거래업,105457099.23441747,-80.30531244297322
282,강남구,신사동 가로수길,철물점,51885575.5,-0.08674665273781557
283,강남구,신사동 가로수길,가구,30995999.406593405,-32.05236585048549
284,강남구,신사동 가로수길,애완동물,260285608.02272728,-19.571725595319464
285,강남구,신사동 가로수길,화초,81227877.53030303,-5.520293991658605
286,강남구,신사동 가로수길,섬유제품,145291564.43055555,3.0571244530630963
287,강남구,신사동 가로수길,완구,4220007.8,99.9913382152171
288,강남구,신사동 가로수길,운동/경기용품,351325108.1694872,38.36590349645911
289,강남구,신사동 가로수길,화장품,405308686.83412695,-34.73432924729369
290,강남구,신사동 가로수길,문구,203405370.85391304,37.40916356797038
291,강남구,신사동 가로수길,서적,8427372.666666666,126.72222566465587
292,강남구,신사동 가로수길,의약품,579513818.4553846,-11.143371491658812
293,강남구,신사동 가로수길,시계및귀금속,174430304.80826354,-3.230254865222477
294,강남구,신사동 가로수길,안경,665879208.6994047,-8.929536509302721
295,강남구,신사동 가로수길,가방,251097604.5,-90.5702055924366
296,강남구,신사동 가로수길,신발,209270061.375,-6.531754056847561
297,강남구,신사동 가로수길,일반의류,287414687.56410253,-16.648055392190557
298,강남구,신사동 가로수길,육류판매,850467801.1666666,-38.25134302208749
299,강남구,신사동 가로수길,미곡판매,267325217.41666666,21.700689324137755
300,강남구,신사동 가로수길,핸드폰,217072358.13333333,-30.844931738274255
301,강남구,신사동 가로수길,컴퓨터및주변장치판매,18137733.111801244,-41.42091090666171
302,강남구,신사동 가로수길,편의점,727703959.8920815,-4.025131803564548
303,강남구,신사동 가로수길,슈퍼마켓,224419313.9175274,-44.062419993230506
304,강남구,신사동 가로수길,노래방,93178317.62356322,-60.04975617063166
305,강남구,신사동 가로수길,여관,34484383.2,-50.000355316117215
306,강남구,신사동 가로수길,세탁소,87785851.42857143,-18.227456979888203
307,강남구,신사동 가로수길,피부관리실,87542665.2492505,-22.122426237732057
308,강남구,신사동 가로수길,네일숍,82164389.29333334,-33.67701359219079
309,강남구,신사동 가로수길,미용실,137791004.125,-8.51678309874832
