,기준 년코드,기준_분기_코드,상권_구분_코드, 상권_구분_코드_명,상권_코드,상권_코드_명,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,행정구_명
46,2021,1분기,R,전통시장,1001485,고분다리골목시장,117802,56257,61546,19885,14261,16042,17372,19641,30602,28671,23286,14344,14815,21681,15004,16505,16164,16128,16363,16500,17793,18350,211664,449227,11740,11740600,강동구
47,2020,4분기,R,전통시장,1001485,고분다리골목시장,114408,54121,60286,19771,13535,15011,16457,19423,30212,27772,22566,13892,14507,21112,14558,16092,15651,15847,15838,15904,17215,17864,211664,449227,11740,11740600,강동구
48,2021,3분기,R,전통시장,1001484,양지골목시장,93762,44775,48986,23638,9982,13498,16273,12806,17566,23819,19984,11530,11952,15430,11047,13233,13027,13071,13049,13034,13995,14352,212119,450678,11740,11740590,강동구
49,2021,2분기,R,전통시장,1001484,양지골목시장,90263,42783,47480,24007,9164,13195,15354,11904,16639,26030,19102,10425,10491,13300,10915,12679,12565,12772,12927,12628,13248,13445,212119,450678,11740,11740590,강동구
50,2021,1분기,R,전통시장,1001484,양지골목시장,82306,38806,43498,21581,8320,12660,13973,11108,14662,22650,17324,9718,9722,12650,10240,11720,11569,11505,11587,11464,12111,12349,212119,450678,11740,11740590,강동구
51,2020,4분기,R,전통시장,1001484,양지골목시장,82103,38270,43833,21848,7838,12969,13628,11013,14806,21892,17337,9917,9937,12896,10126,11571,11496,11572,11543,11453,12014,12454,212119,450678,11740,11740590,강동구
52,2021,3분기,R,전통시장,1001483,암사종합시장,166341,77985,88356,19408,22193,28907,25299,27618,42917,37243,30600,22218,23784,32596,19901,25208,23987,23054,23026,22070,26353,22643,211411,450165,11740,11740570,강동구
53,2021,2분기,R,전통시장,1001483,암사종합시장,302105,140890,161215,36552,39999,51572,45508,48686,79788,65857,56249,38861,42201,60915,38022,42277,41942,42159,42091,42442,45842,45352,211411,450165,11740,11740570,강동구
54,2021,1분기,R,전통시장,1001483,암사종합시장,307299,141970,165329,38890,41090,51749,45401,49180,80988,65830,57158,40418,43918,61885,38092,43333,42921,42799,42710,42588,46478,46470,211411,450165,11740,11740570,강동구
55,2020,4분기,R,전통시장,1001483,암사종합시장,318244,146051,172193,39687,42463,54578,47404,49639,84472,66026,58813,42076,46003,65684,39642,44416,43950,44120,44154,44523,48297,48785,211411,450165,11740,11740570,강동구
