,기준_년_코드,기준_분기_코드,서비스_업종_코드_명,상권_코드_명,분기당_매출_금액,점포수,시군구_명,매출/점포수
1304,2021,3,중식음식점,종로?청계 관광특구,2033849002.0,43,종로구,159969654.7754137
1305,2021,3,한식음식점,종로?청계 관광특구,20943352514.0,467,종로구,157214099.19540638
1587,2020,4,한식음식점,종로·청계 관광특구,25325446720.0,473,종로구,53542170.65539112
1588,2020,4,중식음식점,종로·청계 관광특구,2604888569.0,45,종로구,57886412.64444444
1589,2020,4,일식음식점,종로·청계 관광특구,2725748890.0,34,종로구,80169085.0
1590,2020,4,양식음식점,종로·청계 관광특구,1548280967.0,41,종로구,37762950.414634146
1591,2020,4,제과점,종로·청계 관광특구,606891944.0,22,종로구,27585997.454545453
1592,2020,4,패스트푸드점,종로·청계 관광특구,590568324.0,28,종로구,21091725.85714286
1593,2020,4,치킨전문점,종로·청계 관광특구,1608555485.0,28,종로구,57448410.178571425
1594,2020,4,분식전문점,종로·청계 관광특구,3369026825.0,132,종로구,25522930.492424242
1595,2020,4,호프-간이주점,종로·청계 관광특구,4152856678.0,95,종로구,43714280.82105263
1596,2020,4,커피-음료,종로·청계 관광특구,4040761901.0,130,종로구,31082783.853846155
1597,2020,4,일반교습학원,종로·청계 관광특구,83805950.0,14,종로구,5986139.285714285
1598,2020,4,외국어학원,종로·청계 관광특구,1876609822.0,32,종로구,58644056.9375
1599,2020,4,예술학원,종로·청계 관광특구,102452485.0,11,종로구,9313862.272727273
1600,2020,4,스포츠 강습,종로·청계 관광특구,113096224.0,11,종로구,10281474.909090908
1601,2020,4,일반의원,종로·청계 관광특구,2683904954.0,34,종로구,78938381.0
1602,2020,4,치과의원,종로·청계 관광특구,4776143633.0,36,종로구,132670656.47222222
1603,2020,4,한의원,종로·청계 관광특구,2007899035.0,19,종로구,105678896.57894737
1604,2020,4,당구장,종로·청계 관광특구,486317242.0,28,종로구,17368472.92857143
1605,2020,4,골프연습장,종로·청계 관광특구,89067024.0,2,종로구,44533512.0
1606,2020,4,PC방,종로·청계 관광특구,141402065.0,5,종로구,28280413.0
1607,2020,4,미용실,종로·청계 관광특구,540089500.0,27,종로구,20003314.814814813
1608,2020,4,네일숍,종로·청계 관광특구,7211464.0,7,종로구,1030209.1428571428
1609,2020,4,피부관리실,종로·청계 관광특구,126645066.0,18,종로구,7035837.0
1610,2020,4,가전제품수리,종로·청계 관광특구,76296832.0,33,종로구,2312025.212121212
1611,2020,4,여관,종로·청계 관광특구,892511237.0,62,종로구,14395342.532258065
1612,2020,4,고시원,종로·청계 관광특구,31505361.0,4,종로구,7876340.25
1613,2020,4,노래방,종로·청계 관광특구,269362255.0,28,종로구,9620080.535714285
1614,2020,4,슈퍼마켓,종로·청계 관광특구,2633981833.0,160,종로구,16462386.45625
1615,2020,4,편의점,종로·청계 관광특구,4888027326.0,41,종로구,119220178.68292683
1616,2020,4,컴퓨터및주변장치판매,종로·청계 관광특구,1807162933.0,36,종로구,50198970.36111111
1617,2020,4,핸드폰,종로·청계 관광특구,643220169.0,30,종로구,21440672.3
1618,2020,4,미곡판매,종로·청계 관광특구,249850666.0,4,종로구,62462666.5
1619,2020,4,육류판매,종로·청계 관광특구,842201402.0,11,종로구,76563763.81818181
1620,2020,4,수산물판매,종로·청계 관광특구,1200216797.0,15,종로구,80014453.13333334
1621,2020,4,청과상,종로·청계 관광특구,354440378.0,12,종로구,29536698.166666668
1622,2020,4,반찬가게,종로·청계 관광특구,676179645.0,38,종로구,17794201.184210528
1623,2020,4,일반의류,종로·청계 관광특구,9538290405.0,541,종로구,17630851.025878005
1624,2020,4,신발,종로·청계 관광특구,16614133107.0,602,종로구,27598227.752491694
1625,2020,4,가방,종로·청계 관광특구,273507948.0,37,종로구,7392106.702702703
1626,2020,4,안경,종로·청계 관광특구,104393563.0,27,종로구,3866428.2592592593
1627,2020,4,시계및귀금속,종로·청계 관광특구,7480914336.0,334,종로구,22397947.113772456
1628,2020,4,의약품,종로·청계 관광특구,7292721677.0,59,종로구,123605452.15254237
1629,2020,4,의료기기,종로·청계 관광특구,7669919571.0,38,종로구,201839988.71052632
1630,2020,4,서적,종로·청계 관광특구,730860407.0,53,종로구,13789819.0
1631,2020,4,문구,종로·청계 관광특구,39193761119.0,105,종로구,373273915.4190476
1632,2020,4,화장품,종로·청계 관광특구,600633782.0,47,종로구,12779442.170212766
1633,2020,4,운동/경기용품,종로·청계 관광특구,9728187079.0,67,종로구,145196822.07462686
1634,2020,4,섬유제품,종로·청계 관광특구,26995008481.0,314,종로구,85971364.58917198
1635,2020,4,화초,종로·청계 관광특구,90769414.0,14,종로구,6483529.571428572
1636,2020,4,애완동물,종로·청계 관광특구,1498308554.0,33,종로구,45403289.515151516
1637,2020,4,가구,종로·청계 관광특구,13792626.0,3,종로구,4597542.0
1638,2020,4,가전제품,종로·청계 관광특구,3946449444.0,110,종로구,35876813.127272725
1639,2020,4,철물점,종로·청계 관광특구,99082241.0,23,종로구,4307923.521739131
1640,2020,4,인테리어,종로·청계 관광특구,994316506.0,38,종로구,26166223.842105262
1641,2020,4,조명용품,종로·청계 관광특구,24063000000.0,617,종로구,39000000.0
1642,2020,4,전자상거래업,종로·청계 관광특구,2571613373.0,185,종로구,13900612.827027027
2137,2021,3,전자상거래업,동대문패션타운 관광특구,34233791931.0,75,중구,268129340.21875003
2138,2021,3,철물점,동대문패션타운 관광특구,570418402.0,6,중구,185892709.90625
2139,2021,3,가전제품,동대문패션타운 관광특구,38170420.0,10,중구,16342279.100000001
2140,2021,3,가구,동대문패션타운 관광특구,3898322502.0,34,중구,416658552.85798323
2141,2021,3,화초,동대문패션타운 관광특구,38597569.0,4,중구,66074600.25
2142,2021,3,섬유제품,동대문패션타운 관광특구,721958030.0,34,중구,110649249.84726253
2143,2021,3,운동/경기용품,동대문패션타운 관광특구,26514096756.0,124,중구,790254872.501742
2144,2021,3,화장품,동대문패션타운 관광특구,6895626687.0,122,중구,263848467.71850652
2145,2021,3,문구,동대문패션타운 관광특구,10594326.0,20,중구,4077700.1
2146,2021,3,서적,동대문패션타운 관광특구,596655440.0,28,중구,43269716.51190476
2147,2021,3,의약품,동대문패션타운 관광특구,3238422696.0,22,중구,521815699.9889657
2148,2021,3,시계및귀금속,동대문패션타운 관광특구,520454475.0,47,중구,94819510.58543205
2149,2021,3,안경,동대문패션타운 관광특구,2123462636.0,33,중구,223668658.43942901
2150,2021,3,가방,동대문패션타운 관광특구,886022910.0,130,중구,22815398.602654275
2151,2021,3,신발,동대문패션타운 관광특구,3099963343.0,343,중구,43641511.9777073
2152,2021,3,일반의류,동대문패션타운 관광특구,78914320858.0,9751,중구,34784484.209376246
2153,2021,3,육류판매,동대문패션타운 관광특구,28000000.0,3,중구,40833333.333333336
2154,2021,3,미곡판매,동대문패션타운 관광특구,16211075.0,24,중구,1185368.625
2155,2021,3,핸드폰,동대문패션타운 관광특구,3588851171.0,34,중구,352569325.015625
2156,2021,3,편의점,동대문패션타운 관광특구,7550123591.0,35,중구,765467969.8710623
2157,2021,3,슈퍼마켓,동대문패션타운 관광특구,2260437584.0,238,중구,41660046.121513225
2158,2021,3,여관,동대문패션타운 관광특구,1084960149.0,33,중구,92853708.28253119
2159,2021,3,피부관리실,동대문패션타운 관광특구,453597885.0,25,중구,52634193.775
2160,2021,3,네일숍,동대문패션타운 관광특구,139315517.0,15,중구,46337968.49019608
2161,2021,3,미용실,동대문패션타운 관광특구,364319638.0,19,중구,77688721.49122806
2162,2021,3,스포츠클럽,동대문패션타운 관광특구,12823548.0,1,중구,72110143.0
2163,2021,3,PC방,동대문패션타운 관광특구,468000000.0,5,중구,374400000.0
2164,2021,3,골프연습장,동대문패션타운 관광특구,163671711.0,6,중구,102680228.5
2165,2021,3,당구장,동대문패션타운 관광특구,110296434.0,13,중구,29692565.23076923
2166,2021,3,한의원,동대문패션타운 관광특구,119061131.0,2,중구,362958613.0
2167,2021,3,치과의원,동대문패션타운 관광특구,1800495126.0,11,중구,617031721.4545455
2168,2021,3,일반의원,동대문패션타운 관광특구,1411763815.0,12,중구,449890830.57051283
2169,2021,3,스포츠 강습,동대문패션타운 관광특구,111703830.0,8,중구,55898209.13095238
2170,2021,3,커피-음료,동대문패션타운 관광특구,2138816890.0,91,중구,88100497.55158687
2171,2021,3,호프-간이주점,동대문패션타운 관광특구,1060814861.0,25,중구,162604085.3
2172,2021,3,분식전문점,동대문패션타운 관광특구,3283045690.0,104,중구,112225842.24283202
2173,2021,3,치킨전문점,동대문패션타운 관광특구,104775823.0,12,중구,47605375.0
2174,2021,3,패스트푸드점,동대문패션타운 관광특구,1576618210.0,25,중구,236011733.78141028
2175,2021,3,제과점,동대문패션타운 관광특구,708698430.0,24,중구,119874162.89854112
2176,2021,3,양식음식점,동대문패션타운 관광특구,1506041572.0,42,중구,144154421.60824353
2177,2021,3,일식음식점,동대문패션타운 관광특구,783141028.0,9,중구,321968579.2083333
2178,2021,3,중식음식점,동대문패션타운 관광특구,721280311.0,26,중구,128242776.29121229
2179,2021,3,한식음식점,동대문패션타운 관광특구,7002220277.0,163,중구,178739264.97887924
2204,2021,2,자동차수리,동대문패션타운 관광특구,25563656.0,4,중구,23890961.0
2227,2021,1,애완동물,동대문패션타운 관광특구,12480178.0,4,중구,3120044.5
2240,2021,1,반찬가게,동대문패션타운 관광특구,166000000.0,14,중구,17785714.285714284
2244,2021,1,컴퓨터및주변장치판매,동대문패션타운 관광특구,11435255.0,10,중구,1783899.7
2866,2021,3,전자상거래업,명동 남대문 북창동 다동 무교동 관광특구,125360668.0,81,중구,11216643.17904348
2867,2021,3,조명용품,명동 남대문 북창동 다동 무교동 관광특구,210620701.0,25,중구,38305887.73384615
2868,2021,3,인테리어,명동 남대문 북창동 다동 무교동 관광특구,2637648033.0,66,중구,132996054.31887087
2869,2021,3,철물점,명동 남대문 북창동 다동 무교동 관광특구,16314810.0,13,중구,4987759.230769231
2870,2021,3,가전제품,명동 남대문 북창동 다동 무교동 관광특구,126196342.0,75,중구,8915014.298848871
2871,2021,3,가구,명동 남대문 북창동 다동 무교동 관광특구,41524155.0,11,중구,8081642.181818183
2872,2021,3,애완동물,명동 남대문 북창동 다동 무교동 관광특구,299365095.0,16,중구,72800539.51593138
2873,2021,3,화초,명동 남대문 북창동 다동 무교동 관광특구,6516460722.0,44,중구,185235881.3875
2874,2021,3,섬유제품,명동 남대문 북창동 다동 무교동 관광특구,300942994.0,52,중구,28026220.530478954
2875,2021,3,완구,명동 남대문 북창동 다동 무교동 관광특구,79175.0,6,중구,1114013.1666666665
2876,2021,3,운동/경기용품,명동 남대문 북창동 다동 무교동 관광특구,1359406301.0,71,중구,86963079.97702426
